lob_id,gvkey,bvdid,naics,client_name
0165a6b0-0e63-5005-bb60-23022bbfc326,,,,"CITY OF ALPHARETTA, GEORGIA"
0168b8f1-a65f-5ffc-8692-9f4ddf891ba9,,,,HEALTH INNOVATION ALLIANCE
0169eb99-9727-5d63-b3b6-7a68057b3377,,,,CARLOW UNIVERSITY
016e41b7-328c-51bc-bb68-2e38ee90771d,,,,ONE-TO-ONE PARTNERSHIP
01724058-b7a9-5bc4-90c3-8ed881553f96,,,,CATHOLIC RADIO ASSOCIATION
01733145-ccc4-56d7-a2c6-ea3489d599a7,,,,"SUB-ONE TECHNOLOGY, INC."
0175b932-d690-5fe9-8142-873a5456b9ec,,,,SISKIYOU COUNTY
01774313-0b4b-5e6f-bcba-8c8486eb101e,,,,WEATHERNEWS AMERICA INC
01778a2d-22d1-5be2-9901-f73133f7b110,,,,FLIGHTSAFETY INTERNATIONAL INC.
017914cc-a0c6-50e6-b14f-47f8b2668093,,,,SOUTHWEST MEAT ASSOCIATION
0179ed13-668b-5bbd-9df4-acfd7297dfdc,,,,REUSABLE PACKAGING ASSOCIATION
0179edb0-69c9-59fc-abe5-7da79bfd686e,,,,ATF GROUP
017aa626-369c-57d9-9709-7fc361a0665f,,,,ELTA N.A.
017b7ef9-5b9b-5aab-ad9b-a00350376845,,,,TOTAL MILITARY MANAGEMENT
017e4664-bbae-56fb-b26c-5217e5dd635a,,,,BIOCATALYTICS
017f198b-026a-5a3b-a571-8282a81cf7c7,,,,CALIFORNIA SCHOOLS VOLUNTARY EMPLOYEE BENEFITS ASSOC. (VEBA)
017f6900-ba73-51c7-aa63-fcdbb645c7ff,,,,TRUTH IN LABELING COALITION
017fa2f8-c90d-58ee-bb30-134f5086a225,,,,"PRERELEASE REENTRY EMPLOYMENT PROGRAMMING, INC."
0185fba7-ee48-516b-953a-6a89688238ad,,,,STAINLESS STEEL TUBE TRADE ADVANCEMENT COMMITTEE
0186d89b-d051-5cb9-8a09-e6787e666cae,,,,PARENT-CHILD HOME PROGRAM
018c1a2c-bfea-5f94-8b3b-8b7202f8586a,,,,"KVC HEALTH SYSTEMS, INC."
018f6456-4082-53fd-87af-67ed85b0c274,,,,REGENESIS
01904ac8-a455-5a52-8af3-64aa2fdd630b,,,,GREEN EDUCATION FOUNDATION
0190c696-b9ba-5ffd-a4ba-67aeb34ae0e5,,,,CRUCIBLE COMPACTION METALS
0192c838-ab12-5c75-abc8-700477516af3,,,,"GENEVA TRADING USA, LLC"
0193eb01-e61d-571b-b10e-bff0d9163c06,,,,REHABILITATION HOSPITAL AT HEATHER HILL OH
0197d99d-4aac-5c6f-b769-7bd0518bb148,,,,DRUG POLICY ALLIANCE
0198ab1c-0366-5ed6-9467-ee30ed3737e8,,,,"BIONOSTICS, INC."
019905a6-3cb1-5fd4-ad74-2b944472fea1,,,,LE MAS LTD
019b0751-e877-5c1d-8d38-74ab4054a3b6,,,,RAJANT CORPORATION
019c2c78-a9af-539f-97f0-67c3e8889544,,,,MEVATEC
019e6f06-11ef-5ba3-b022-5de8ca13de3a,,,,ASSOCIATION OF STATE CRIMINAL INVESTIGATIVE AGENCIES
01a380cb-aec5-56a7-ae36-5b0e3404d010,,,,CITY OF RANCHO PALOS VERDES
01a9cb69-a52d-548c-975a-62b543d68a6a,,,,BEOWULF ENERGY LLC
01abe5a8-a131-5a64-8f76-511f7c71c325,,,,DORCHESTER  GROUP LIMITED
01adbeff-c354-5a8d-bcee-4c3e92556804,,,,"FISKARS BRANDS, INC."
01ae57d6-f57c-5dfb-8d74-2ff766170fd3,,,,MATTHEW DONEGAN
01ae6c48-2f18-5946-b447-1fa9f33f547f,,,,KEEP EASTMORELAND FREE
01b01529-24a3-52d7-b8fd-784f4f113e43,,,,DIRECT COMMUNICATIONS
01b0d430-d4ee-5c88-b1b5-d07a36509e20,,,,ELIZABETH DOLE FOUNDATION
01b32b38-8473-5427-a803-3e0ae931a3dc,,,,EQUIPMENT LEASING AND FINANCE ASSOCIATION
01b3749a-c204-5ee6-9ff6-fc84c488f4c0,036950,US205009396,518210,AMERICAN WELL CORPORATION
