cik,name,year,Assets,NetIncomeLoss,Revenues,gvkey,lobbying_spend,roa
70793,NBTY INC,2015,4075592000.0,,1172050000.0,,,
72331,NORDSON CORP,2010,986354000.0,168048000.0,819165000.0,7921.0,,0.17037290871228788
72331,NORDSON CORP,2011,986354000.0,53556000.0,390319000.0,7921.0,,0.05429693598849906
72331,NORDSON CORP,2012,-25316000.0,224829000.0,312255000.0,7921.0,,-8.880905356296413
72331,NORDSON CORP,2013,-25316000.0,59777000.0,109074000.0,7921.0,,-2.36123400221204
72331,NORDSON CORP,2014,110982000.0,61934000.0,403086000.0,7921.0,,0.5580544592816853
72331,NORDSON CORP,2015,486852000.0,246773000.0,123654000.0,7921.0,,0.506874779193677
72331,NORDSON CORP,2016,22884000.0,41161000.0,593858000.0,7921.0,,1.79868030064674
72331,NORDSON CORP,2017,794699000.0,70601000.0,594298000.0,7921.0,,0.08883992555672021
72331,NORDSON CORP,2018,26175000.0,49988000.0,253092000.0,7921.0,,1.9097612225405922
72331,NORDSON CORP,2019,38997000.0,91235000.0,530812000.0,7921.0,,2.3395389388927352
72331,NORDSON CORP,2020,3519907000.0,86981000.0,2194226000.0,7921.0,,0.02471116424382803
73605,OAKRIDGE HOLDINGS INC,2012,19494159.0,55734.0,13314725.0,,,0.002859010229679567
73605,OAKRIDGE HOLDINGS INC,2013,18624332.0,-314641.0,12757054.0,,,-0.0168940824293725
